Borough,Inner,Status,Local authority,Political control,Headquarters,Area (sq_mi),Population (2013_est),Coordinates,Nr in map

Merton,,,Merton London Borough Council,Labour,"Civic Centre, London Road",14.52,"203,223","51°24′05″N 0°11′45″W﻿,﻿51.4014°N 0.1958°W﻿,51.4014; -0.1958﻿ (Merton)",17
Newham,[note 3],,Newham London Borough Council,Labour,"Newham Dockside, 1000 Dockside Road",13.98,"318,227","51°30′28″N 0°02′49″E﻿,﻿51.5077°N 0.0469°E﻿,51.5077; 0.0469﻿ (Newham)",27
Redbridge,,,Redbridge London Borough Council,Labour,"Town Hall, 128-142 High Road",21.78,"288,272","51°33′32″N 0°04′27″E﻿,﻿51.5590°N 0.0741°E﻿,51.5590; 0.0741﻿ (Redbridge)",26
Richmond upon Thames,,,Richmond upon Thames London Borough Council,Liberal Democrat,"Civic Centre, 44 York Street",22.17,"191,365","51°26′52″N 0°19′34″W﻿,﻿51.4479°N 0.3260°W﻿,51.4479; -0.3260﻿ (Richmond upon Thames)",15
Southwark,Y,,Southwark London Borough Council,Labour,160 Tooley Street,11.14,"298,464","51°30′13″N 0°04′49″W﻿,﻿51.5035°N 0.0804°W﻿,51.5035; -0.0804﻿ (Southwark)",7
Sutton,,,Sutton London Borough Council,Liberal Democrat,"Civic Offices, St Nicholas Way",16.93,"195,914","51°21′42″N 0°11′40″W﻿,﻿51.3618°N 0.1945°W﻿,51.3618; -0.1945﻿ (Sutton)",18
Tower Hamlets,Y,,Tower Hamlets London Borough Council,Labour,"Town Hall, Mulberry Place, 5 Clove Crescent",7.63,"272,890","51°30′36″N 0°00′21″W﻿,﻿51.5099°N 0.0059°W﻿,51.5099; -0.0059﻿ (Tower Hamlets)",8
Waltham Forest,,,Waltham Forest London Borough Council,Labour,"Waltham Forest Town Hall, Forest Road",14.99,"265,797","51°35′27″N 0°00′48″W﻿,﻿51.5908°N 0.0134°W﻿,51.5908; -0.0134﻿ (Waltham Forest)",28
Wandsworth,Y,,Wandsworth London Borough Council,Conservative,"The Town Hall, Wandsworth High Street",13.23,"310,516","51°27′24″N 0°11′28″W﻿,﻿51.4567°N 0.1910°W﻿,51.4567; -0.1910﻿ (Wandsworth)",5
Westminster,Y,City,Westminster City Council,Conservative,"Westminster City Hall, 64 Victoria Street",8.29,"226,841","51°29′50″N 0°08′14″W﻿,﻿51.4973°N 0.1372°W﻿,51.4973; -0.1372﻿ (Westminster)",2

